1;arms_factory;2948.00;10.38;1357.00;4.99;0
1;arms_factory;2949.00;11.53;1370.00;1.38;0
1;arms_factory;2944.00;11.23;1369.00;4.04;0
1;arms_factory;2944.00;11.23;1369.00;5.60;0
1;arms_factory;2949.00;12.28;1361.00;3.44;0
1;arms_factory;2951.00;11.55;1364.00;4.64;0
1;industrial_complex;2949.00;12.98;1364.00;2.48;0
1;industrial_complex;2951.00;10.23;1356.00;4.05;0
1;industrial_complex;2944.00;9.50;1357.00;0.43;0
1;industrial_complex;2953.00;10.28;1370.00;3.09;0
1;industrial_complex;2953.00;10.28;1370.00;6.11;0
1;industrial_complex;2948.00;13.60;1368.00;3.95;0
1;air_base;2951.00;11.18;1362.00;5.16;0
1;naval_base;2942.00;9.50;1356.00;-0.79;5579
1;naval_base;2953.00;9.50;1375.00;-3.00;5555
1;naval_base;2941.00;9.50;1365.00;-1.19;5579
1;bunker;2948.00;10.38;1357.00;3.60;0
1;bunker;2951.00;11.63;1365.00;1.44;0
1;bunker;2948.00;12.05;1362.00;1.55;0
1;coastal_bunker;2944.00;9.50;1356.00;-0.79;0
1;coastal_bunker;2955.00;9.50;1364.00;0.98;0
1;coastal_bunker;2942.00;9.63;1367.00;-1.19;0
1;dockyard;2944.00;9.50;1356.00;-0.79;0
1;anti_air_building;2950.00;12.40;1364.00;4.11;0
1;anti_air_building;2945.00;9.68;1358.00;0.50;0
1;anti_air_building;2945.00;9.68;1358.00;2.05;0
1;synthetic_refinery;2953.00;10.28;1370.00;6.18;0
1;radar_station;2948.00;13.38;1365.00;3.43;0
1;rocket_site;2943.00;10.45;1370.00;5.22;0
1;nuclear_reactor;2951.00;11.18;1362.00;0.50;0
2;arms_factory;3011.00;9.93;1352.00;4.04;0
2;arms_factory;3006.00;9.78;1355.00;5.60;0
2;arms_factory;3021.00;9.93;1350.00;3.44;0
2;arms_factory;3016.00;11.00;1355.00;4.64;0
2;arms_factory;3014.00;10.95;1355.00;2.48;0
2;arms_factory;2999.00;9.68;1361.00;4.05;0
2;industrial_complex;3018.00;10.80;1354.00;0.43;0
2;industrial_complex;3002.00;9.70;1356.00;3.09;0
2;industrial_complex;3014.00;12.05;1359.00;6.11;0
2;industrial_complex;2997.00;9.98;1364.00;3.95;0
2;industrial_complex;3010.00;10.68;1356.00;5.16;0
2;industrial_complex;3007.00;10.45;1359.00;3.00;0
2;air_base;3021.00;10.98;1354.00;4.56;0
2;naval_base;3022.00;9.50;1347.00;0.17;1452
2;naval_base;2997.00;9.50;1357.00;-0.93;5656
2;naval_base;3001.00;9.50;1354.00;-0.46;5656
2;naval_base;3019.00;9.50;1348.00;0.32;1452
2;naval_base;2987.00;9.50;1367.00;-0.90;5579
2;bunker;3019.00;12.55;1362.00;2.05;0
2;bunker;3011.00;10.82;1356.00;4.71;0
2;bunker;3004.00;10.05;1361.00;1.45;0
2;bunker;2996.00;10.05;1365.00;4.11;0
2;bunker;2991.00;9.70;1367.00;0.50;0
2;bunker;3023.00;10.43;1351.00;2.05;0
2;coastal_bunker;3009.00;9.50;1348.00;-0.90;0
2;coastal_bunker;3004.00;9.50;1351.00;-0.46;0
2;coastal_bunker;2988.00;9.50;1366.00;-0.90;0
2;coastal_bunker;2997.00;9.50;1358.00;-0.93;0
2;coastal_bunker;3022.00;9.50;1346.00;0.17;0
2;dockyard;2998.00;9.50;1357.00;-0.93;0
2;anti_air_building;3011.00;10.82;1356.00;3.67;0
2;anti_air_building;3022.00;10.57;1352.00;0.40;0
2;anti_air_building;3009.00;9.75;1353.00;1.61;0
2;synthetic_refinery;3007.00;10.20;1356.00;5.73;0
2;radar_station;3006.00;10.45;1362.00;2.21;0
2;rocket_site;3017.00;11.28;1356.00;3.68;0
2;nuclear_reactor;3015.00;11.20;1356.00;0.06;0
3;arms_factory;2936.00;13.88;1458.00;3.44;0
3;arms_factory;2931.00;14.55;1453.00;4.64;0
3;arms_factory;2935.00;14.03;1459.00;2.48;0
3;arms_factory;2927.00;13.75;1455.00;0.43;0
3;arms_factory;2935.00;15.65;1449.00;3.09;0
3;industrial_complex;2923.00;13.63;1456.00;6.11;0
3;industrial_complex;2925.00;10.78;1464.00;3.95;0
3;industrial_complex;2926.00;11.20;1465.00;3.00;0
3;industrial_complex;2934.00;14.10;1458.00;4.56;0
3;industrial_complex;2935.00;15.90;1452.00;0.94;0
3;air_base;2934.00;14.10;1459.00;3.60;0
3;bunker;2935.00;15.40;1453.00;1.55;0
3;bunker;2923.00;14.45;1453.00;5.67;0
